apps reservadas
SWI-PROLOG 8.2.1-1
WinSCP 5.17.10
Rhinoceros
BlueJ 4.2.2
Lazarus 2.0.10
Oracle Database Express Edition 18.4
Sam 6.1
IntelliJ Idea 2021.2
Solver Gams 31.1
Fango
Powder Cell 2.4
Postman 8.9.1
Jclic Reports 0.3.2.11
Eclipse Enterprise Java Developers 2020-06-R
R 4.1.0
Microsoft Office 2010
Opera Enterprise Suite
Idle Python 3.4
R
Cocodrile Clips 3.5
Docker
MySQL 8.0.26
Epidat 3.1
IrfanView 4.58
Matlab - Simulink
XAMPP 8.0.8-1
Putty
Filemaker Pro V8.0
Jclic Reports 0.3.2.12
RStudio 1.4.1717
StarUML 3.2.2
Firefox
Arduino
XAMPP 7.4.8
Cyclepad V2
Magicdraw UML
Google Chrome
DIA
Audacity + Lame Mp3 Español
Mars Mips Simulator
Oracle SQL Developer Data Modeler 19.1.0
GameMaker Studio 1.4.1763
Aspen
Python 3 3.9.6
Adobe Incopy Cc
eXeLearning 2.1
DrMIPS
Audacity + Lame Mp3 English
Adobe Animate CC
Lazarus 2.0.12
Jasp
Rstudio 1.2.1335
Adobe Premier Pro Cc
Mesquite 3.6.1
Autodesk Revit 2021
Ecosim Pro
Witness 23
Digital
SDL Multiterm 2017
Xilinx 14 - PlanAhead
Qtcreator
Pycharm 2021.2
Factory I/O v2.4.3
Gcc
Microsoft Visual Studio
Sublime Text Build 4113
Autodesk 3DS Max 2021
Maxent 3.4.4
Adobe Prelude Cc
FreeFileSync 9.7
CrypTool 2.1 build 8853.1
Audacity 2.4.1
Ansys 2020 R2
RobotStudio_2019.5
OpenProj - Project Management 1.3
Primary Code
Gerber AccuMark Pattern Design 10.4
Google Earth Pro
VIdeoPad Editor 8.51
Apache Netbeans 12.4
Jclic Author V0.3.2.12
Autocad 2020
Xilinx 14 - ISE Project Navigator
Vlc Media Player
Sap
SIMARIS design 9
Autodesk Mudbox 2020
Easy68k
microsoft
Unity 2020.3.14f1 LTS
Mingw (Plugin Netbeans)
Scracht Desktop 3.3.0
IrfanView 4.54
Unreal Engine 4.22.3
Adobe Extension Manager
GenAlEx 6.51b2
Oracle SQL Developer
Rasmol 2.7.5.2
Quarkxpress 8
Microsoft SQL Server Management Studio 18.9.2
Protege 5.5.0
Solver Gams 27.2.0
Gretl V1.10.2
Adventure Game Studio 3.5.0.24-P2
Scri Modelos 4.4
Argouml V0.34
Frizting 0.9.3b
Keepass
Atlas Ti 6.1
Atube Catcher 3.8.9
Eclipse C++ 2020-06-R
Java7-Jdk
Jflap 7.1
Clion
Stata
Aspen v11
Android Studio 4
Herramientas Para Análisis Excel 14.0.6023
Oracle Database Client
Mdsolids 3.5
CLIPS
Autodesk 3DS Max
Axure RP 9.0
Maxima 5.45.1
R 4.0.2
CloudSim 4.0
TurboPascal DevPascal
WinMIPS64 1.57
Ubuntu 16.04 LTS
Cype Ingenieros 2021
Geany
SubtitleWorkshop
Escritorio Desarrollo
Hotpotatoes Inglés V7.0.1.0
QGIS (A Coruña) 3.10.10
Adobe PhoneGap Desktop
Adobe Fireworks
Audacity 2.3.2 + Lame
Notepad++
Magicdraw Uml 16.6
Adept
7-zip
Eclipse STS 4.11.0
Postman
Blender 2.83
Jclic Author 0.3.2.11
Autodesk Maya 2019
Ultimaker Cura
IBM ILOG CPLEX Optimization Studio Community Edition 12.8
PyCharm 2020.2
Openssh-Client
Dial 3.11.0
Maxima 5.44.0
Intuos
Microsoft Project 2016
Visual Studio Code
Wireshark 3.0.2
Python
Java JDK 8u251
Past 1.7
Eclipse STS 4.7.0
Autodesk Maya 2020
Adobe Audition Cc
EcosimPro 6.2.0
Microsoft Visual Studio 2019
Autodesk Mudbox
Visual Studio Code 1.58.2
OpenCV 4.5.2
NaN
Eclipse STS
Escritorio Ubuntu
ModelSim-Intel FPGA Edition 20.0.1
Adobe Illustrator Cc
Adobe Speedgrade Cc
Build-Essential
pure:variants
Notepad++ 7.8.9
Unity 2018.4.3f1 + SDK Oculus
QGIS (A Coruña)
Wireshark 3.2.5
NumPy 1.15.0 (Python)
OBS Studio 24.0.3
Logisim Evolution
Anaconda Python v3 2020.07
Wireshark
Escritorio Redes
ArcGis 10.8
Fusion 360
NetGui
Simapro 7.2
SIMARIS curves 5
Oracle database express edition 18c
Matlab R2021a
Escritorio SQL
System Advisor Model 2013.1.15
Vagrant 2.2.18
AegiSub
Ramas Ecolab V2
Matplotlib 2.2.2
Chemsketch - Acd V12.01
K-Lite Mega Codec Pack 10.5.5
Codeblocks
Octave
Adobe Bridge Cc
Sublime Text Build 3211
Greenfoot 3.6.1
Adobe Lightroom Cc
ACD - 3D Viewer
Inkscape 1.0
Adobe Photoshop Cc
Xilinx 14 - PlanAhead 32Bits
Xilinx Ise 14.7
Jclic V0.3.2.12
Mendeley 1.19.4
Unity 2019.4.3f1 LTS
Anaconda Python v3 2021.05
Mercury 3.10.3
R 3.6.1
MDSolids 4.1.0
Unity 2018.4.3f1 + SDK Android
Edit68k v5.16.01
ScratchJR
Virtualbox 6.0.8
Edit68k
Ebsilon Professional 15
Lame Mp3 Español 3.99.3
Gacela
HxD
Escritorio Adobe
PSPP 1.2.0
CrypTool 1.4.41
Mars Mips Simulator 4.5
IBM ILOG CPLEX Optimization Studio Community Edition
Adobe Flash Builder Premium
Gimp 2.10.10
Adobe Indesing Cc
Java JDK 8u291
MongoDB
Emacs
Siemens TIA Portal
Veracrypt
IntelliJ Idea 2020.2
S.O. Linux
Zotero 4.0.28.7
ImageJ 1.53k
Cmap Tools 6.04
Microsoft Office 2016
Adobe After Effects Cc
Clion 2020.1.2
Make
Inkscape 1.1
Spss V27
Internet Explorer
Microsoft Visio
Maltego.v4.1.0
Jupiter (Anaconda 3)
CYPE THERM HE Plus
DaVinci Resolve 16.1.2
